id_aluno,codigo_curso
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,2
10,2
11,3
12,3
13,6
14,6
15,6
16,6
17,6
18,6
19,6
20,6
21,7
22,7
23,7
24,7
25,8
26,8
27,9
28,9
29,9
30,10
31,10
32,12
33,12
34,12
35,12
36,12
37,12
38,12
39,12
40,12
41,12
42,12
43,12
44,13
45,13
46,13
47,16
48,16
49,16
50,16
51,16
52,17
53,19
54,20
55,20
56,21
57,21
58,21
59,23
60,23
61,24
62,25
63,26
64,26
65,27
66,29
67,32
68,34
69,36
70,36
71,36
72,37
73,37
74,37
75,44
76,44
77,21442
78,21442
79,22118
80,22837
81,25903
82,25949
83,31373
84,41690
85,41690
86,41690
87,62906
88,84854
89,84854
90,94331
91,94331
92,100763
93,100772
94,100775
95,100778
96,100778
97,100804
98,100920
99,101184
100,105652
101,106050
102,106050
103,106052
104,112770
105,112770
106,112846
107,112846
108,112846
109,114386
110,116550
111,116550
112,116550
113,116560
114,116560
115,116560
116,116648
117,116648
118,116690
119,116690
120,116708
121,116736
122,117004
123,117004
124,117004
125,117004
126,117004
127,117004
128,117004
129,117004
130,118002
131,118002
132,118002
133,123007
134,123007
135,123007
136,123011
137,123011
138,123011
139,123011
140,123013
141,123052
142,123052
143,123052
144,123055
145,123055
146,123055
147,123055
148,123427
149,123427
150,123427
151,123620
152,123620
153,123620
154,1103701
155,1103710
156,1103710
157,1103710
158,1103710
159,1113617
160,1113617
161,1113617
162,1113617
163,1113617
164,1127343
165,1127343
166,1128077
167,1168551
168,1168551
169,1168551
170,1168551
171,1188880
172,1205603
173,1205603
174,1205603
175,1205603
176,1205603
177,1205603
178,1205603
179,1205603
180,1205603
181,1205603
182,1205603
183,1205603
184,1205603
185,1205603
186,1205603
187,1205603
188,1205603
189,1205603
190,1205603
191,1205603
192,1205603
193,1261971
194,1261971
195,1261971
196,1261971
197,1261972
198,1261972
199,1261972
200,1270017
201,1270037
202,1270057
203,1270057
204,1270057
205,1270062
206,1285517
207,1357965
208,1425400
209,1425400
210,1425400
211,119
212,119
213,119
214,122
215,127
216,127
217,133
218,135
219,135
220,137
221,139
222,139
223,140
224,140
225,140
226,140
227,143
228,144
229,145
230,146
231,148
232,148
233,148
234,149
235,149
236,149
237,150
238,150
239,150
240,150
241,150
242,151
243,156
244,156
245,157
246,157
247,157
248,159
249,160
250,163
251,165
252,165
253,165
254,165
255,166
256,167
257,18032
258,18032
259,18032
260,18033
261,20551
262,20551
263,26030
264,26033
265,26033
266,26033
267,26039
268,31376
269,31376
270,31381
271,31384
272,31384
273,33204
274,33206
275,34644
276,44362
277,44382
278,85124
279,92262
280,92267
281,112176
282,112790
283,112792
284,112804
285,112816
286,112872
287,112891
288,112891
289,112891
290,122198
291,122202
292,122202
293,122204
294,122206
295,122206
296,122208
297,122212
298,122214
299,122214
300,122214
301,122218
302,122218
303,122220
304,300129
305,1138293
306,1138345
307,1140048
308,1140062
309,1173351
310,1192415
311,1269978
312,1269978
313,1314245
314,1349598
315,1349598
316,1349598
317,1349598
318,1349598
319,1349598
320,1349598
321,1349598
322,1349598
323,1349598
324,1349598
325,1349598
326,1349598
327,1349598
328,1349598
329,1349598
330,1349598
331,1349598
332,1349598
333,1349598
334,1349598
335,1349598
336,1349598
337,1349598
338,1349598
339,5000587
340,5001037
341,294
342,294
343,294
344,294
345,294
346,294
347,294
348,294
349,295
350,295
351,295
352,297
353,297
354,297
355,302
356,302
357,302
358,302
359,303
360,303
361,303
362,303
363,303
364,303
365,303
366,303
367,303
368,303
369,303
370,303
371,303
372,303
373,303
374,303
375,303
376,303
377,303
378,303
379,303
380,304
381,304
382,304
383,304
384,306
385,306
386,306
387,306
388,306
389,306
390,306
391,306
392,308
393,308
394,308
395,308
396,308
397,308
398,308
399,308
400,308
401,308
402,308
403,308
404,308
405,308
406,308
407,308
408,308
409,308
410,310
411,311
412,311
413,311
414,311
415,311
416,311
417,311
418,311
419,311
420,311
421,315
422,315
423,315
424,315
425,315
426,315
427,315
428,315
429,315
430,315
431,317
432,317
433,317
434,317
435,317
436,318
437,318
438,319
439,319
440,319
441,319
442,319
443,321
444,326
445,326
446,327
447,327
448,327
449,327
450,327
451,327
452,327
453,328
454,328
455,328
456,328
457,328
458,328
459,20190
460,20190
461,20190
462,20190
463,20762
464,20762
465,20762
466,20762
467,20762
468,20762
469,20762
470,20762
471,20762
472,20762
473,20762
474,20762
475,20762
476,20762
477,20762
478,20764
479,20764
480,20764
481,20764
482,20764
483,20764
484,20764
485,20764
486,20767
487,20768
488,20782
489,20782
490,40149
491,49512
492,49673
493,49673
494,49673
495,52852
496,52852
497,52852
498,52852
499,52852
500,52852
501,52852
502,52852
503,64064
504,64064
505,64064
506,64064
507,80418
508,80419
509,80419
